version,section,function,length,matching
us.v10,.core1,alMainBusPull,288,yes
us.v10,.core1,_heap_get_occupied_size,12,yes
us.v10,.core1,__ll_div,92,yes
us.v10,.core1,func_80250360,276,yes
us.v10,.core1,func_80245980,32,yes
us.v10,.core1,func_80252CC4,200,yes
us.v10,.core1,func_802457C4,184,yes
us.v10,.core1,func_8023DA74,40,yes
us.v10,.core1,__osIdCheckSum,104,yes
us.v10,.core1,func_80257F18,260,yes
us.v10,.core1,func_80250FC0,156,yes
us.v10,.core1,snspayload_set_key_at_idx,40,yes
us.v10,.core1,func_80247C20,204,yes
us.v10,.core1,alLoadParam,468,yes
us.v10,.core1,func_80254B84,64,yes
us.v10,.core1,func_80244CD0,196,yes
us.v10,.core1,ml_vec3f_scale_copy,44,yes
us.v10,.core1,__n_postNextSeqEvent,220,yes
us.v10,.core1,audioManager_handle,300,yes
us.v10,.core1,max_f,40,yes
us.v10,.core1,func_80255920,88,yes
us.v10,.core1,func_8024BD08,56,yes
us.v10,.core1,func_80253EE4,144,yes
us.v10,.core1,func_8024A984,104,yes
us.v10,.core1,func_8025C288,20,yes
us.v10,.core1,func_8024CC08,72,yes
us.v10,.core1,func_8025A55C,48,yes
us.v10,.core1,func_8025AFB8,8,yes
us.v10,.core1,func_8024CFD4,536,yes
us.v10,.core1,func_802445C4,68,yes
us.v10,.core1,func_80254C98,16,yes
us.v10,.core1,audioManager_handleDoneMsg,64,yes
us.v10,.core1,_freePVoice,56,yes
us.v10,.core1,osYieldThread,76,yes
us.v10,.core1,__osSumcalc,92,yes
us.v10,.core1,audioManager_handleFrameMsg,480,yes
us.v10,.core1,func_8025A8B8,44,yes
us.v10,.core1,func_8024D8F4,188,yes
us.v10,.core1,func_8024DD9C,12,yes
us.v10,.core1,func_802519C8,324,no
us.v10,.core1,func_80252F50,60,yes
us.v10,.core1,func_80257BFC,76,yes
us.v10,.core1,func_802485C8,8,yes
us.v10,.core1,func_8024D374,1408,no
us.v10,.core1,__n_lookupVoice,116,yes
us.v10,.core1,func_8025A58C,32,yes
us.v10,.core1,_depth2Cents,80,yes
us.v10,.core1,__osPopThread,16,yes
us.v10,.core1,func_8025715C,168,yes
us.v10,.core1,func_8024559C,112,yes
us.v10,.core1,func_8024DC04,264,yes
us.v10,.core1,n_alCSeqNextEvent,760,yes
us.v10,.core1,func_8024A880,44,yes
us.v10,.core1,func_802510A0,8,yes
us.v10,.core1,func_80247FD0,200,yes
us.v10,.core1,glcrc_calc_checksum,316,yes
us.v10,.core1,func_80258F88,148,yes
us.v10,.core1,alCSPSetSeq,52,yes
us.v10,.core1,func_80255D30,20,yes
us.v10,.core1,ml_vec3f_pitch_rotate_copy,148,yes
us.v10,.core1,draw_prim_rect,160,yes
us.v10,.core1,func_8024E698,72,yes
us.v10,.core1,func_80257618,64,yes
us.v10,.core1,func_8023DD0C,656,no
us.v10,.core1,func_80255AE4,36,yes
us.v10,.core1,func_802500C0,12,yes
us.v10,.core1,osViGetNextFramebuffer,64,yes
us.v10,.core1,func_80256AB4,160,yes
us.v10,.core1,alLoadNew,168,yes
us.v10,.core1,__allocParam,48,yes
us.v10,.core1,func_802476DC,16,yes
us.v10,.core1,mlClamp_f,64,yes
us.v10,.core1,__osViGetCurrentContext,12,yes
us.v10,.core1,func_8025534C,12,yes
us.v10,.core1,alEvtqPostEvent,292,yes
us.v10,.core1,func_802466F4,80,yes
us.v10,.core1,func_8024AAB0,832,yes
us.v10,.core1,_n_collectPVoices,100,yes
us.v10,.core1,func_80255CE0,36,yes
us.v10,.core1,func_80254490,12,yes
us.v10,.core1,func_80254374,120,yes
us.v10,.core1,snspayload_rewind_incoming,12,yes
us.v10,.core1,__ll_lshift,44,yes
